county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,TRL,TRL,3,TRL,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,WAY,WAY,28,WAY,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,PREDIR,PRE_DIR,E,E,178,E,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,PREDIR,PRE_DIR,N,N,154,N,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,PREDIR,PRE_DIR,S,S,166,S,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,PREDIR,PRE_DIR,W,W,135,W,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,0,0,1492,,review
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,10,10,15,10,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,15,15,14,15,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,20,20,14,20,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,25,25,54,25,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,30,30,9,30,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,35,35,8,35,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,40,40,15,40,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,45,45,2,45,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,5,5,6,5,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,SPEED_LMT,SPD_LMT,55,55,36,55,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,STATUS,S_STATUS,A,A,469,,review
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,DOT_SRFTYP,RoadSurfaceType,Asphalt,ASPHALT,20945,,review
