county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status,approved_target_value,note
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,D Road,D ROAD,5553,,review,D,
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,Federal,FEDERAL,27,,review,F,
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,GRAND,GRAND,13,,review,,no matching value
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,NDOT,NDOT,228,,review,,no matching value
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,Private,PRIVATE,1,,review,P,
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,Private Road,PRIVATE ROAD,3,,review,P,
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,Reservation,RESERVATION,1635,,review,,no matching value
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,State Highway,STATE HIGHWAY,12,A,review,A,
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,UDOT,UDOT,3,A,review,A,
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,US Highway,US HIGHWAY,16,A,review,A,
Sevier,sevier,C:\Mac\Home\Documents\working\utrans\county_obtained\Sevier\SevierCo_20260514.gdb\SC911DataUpdate_260511,POSTTYPE,S_TYPE,BIKE,BIKE,30,,review,,no matching value
Sevier,sevier,C:\Mac\Home\Documents\working\utrans\county_obtained\Sevier\SevierCo_20260514.gdb\SC911DataUpdate_260511,PREDIR,PRE_DIR,C,C,1,,review,,no matching value
Uintah,uintah,C:\Mac\Home\Documents\working\utrans\county_obtained\Uintah\UintahCo20260423.gdb\Roads,SPEED_LMT,SPD_LMT,0,0,9008,,review,25,defaulting to 25
Utah,utah,C:\Mac\Home\Documents\working\utrans\county_obtained\Utah\UtahCo_20260824.gdb\RoadCenterline,POSTTYPE,ROADTYPE,CORR,CORR,35,,review,,no matching value
Utah,utah,C:\Mac\Home\Documents\working\utrans\county_obtained\Utah\UtahCo_20260824.gdb\RoadCenterline,POSTTYPE,ROADTYPE,OFF,OFF,80,,review,RAMP,
Utah,utah,C:\Mac\Home\Documents\working\utrans\county_obtained\Utah\UtahCo_20260824.gdb\RoadCenterline,POSTTYPE,ROADTYPE,ON,ON,85,,review,RAMP,
Wayne,wayne,C:\Mac\Home\Documents\working\utrans\county_obtained\Wayne\WayneCo_20260414.gdb\WayneCoRds_20260409,DOT_CLASS,CLASS,?,?,4,,review,,no matching value
Wayne,wayne,C:\Mac\Home\Documents\working\utrans\county_obtained\Wayne\WayneCo_20260414.gdb\WayneCoRds_20260409,DOT_CLASS,CLASS,TBD,TBD,16,,review,,no matching value
Wayne,wayne,C:\Mac\Home\Documents\working\utrans\county_obtained\Wayne\WayneCo_20260414.gdb\WayneCoRds_20260409,DOT_CLASS,CLASS,TR,TR,2,,review,,no matching value - seems like a trail designation
Wayne,wayne,C:\Mac\Home\Documents\working\utrans\county_obtained\Wayne\WayneCo_20260414.gdb\WayneCoRds_20260409,DOT_CLASS,CLASS,TRL,TRL,18,,review,,no matching value - seems like a trail designation
Wayne,wayne,C:\Mac\Home\Documents\working\utrans\county_obtained\Wayne\WayneCo_20260414.gdb\WayneCoRds_20260409,DOT_SRFTYP,S_SURF2,0,0,6,,review,,no matching value
Wayne,wayne,C:\Mac\Home\Documents\working\utrans\county_obtained\Wayne\WayneCo_20260414.gdb\WayneCoRds_20260409,DOT_SRFTYP,S_SURF2,100,100,19,,review,P,
